,Title,Views,Likes,Comments,Published_Date,Month
0,How Adani Vs Reliance Vs Airtel's 5G Race shape the future of India? : 5G Business case study,422390,23377,1292,2022-10-11,Oct
1,Why is Europe facing a BANKING CRISIS like 2008? : Credit Suisse Crisis Business case study,1196657,51252,2379,2022-10-07,Oct
2,Why is UNITED KINGDOM going BANKRUPT? : UK's economic crisis Explained in simple words,2316529,72034,6801,2022-10-04,Oct
3,How US Recession will Shake the INDIAN ECONOMY? : Economic case study,1290805,50309,2323,2022-10-01,Oct
4,How did Israel become SUPER POWERFUL & What India needs to learn from it? : Geopolitical Case study,1141956,57893,3418,2022-09-27,Sep
5,How NATIONAL LOGISTICS POLICY will be a GAME CHANGER for Indian Economy? : Business case study,1714316,67672,2788,2022-09-23,Sep
6,How GST has CHANGED/ MESSED UP the Indian Economy?: Economic case study,943803,47181,2664,2022-09-20,Sep
7,Why is China taking over Indian BORDERS and what is INDIA doing? : Geopolitical case study,1546510,55341,3609,2022-09-16,Sep
8,How RAPIDO is secretly STEALING OLA and UBER's profits to break the duopoly? : Business Case study,627599,24260,793,2022-09-13,Sep
9,What Schools don’t teach you about Chhatrapati Shivaji Maharaj? : Case study,575297,34339,2708,2022-09-10,Sep
10,How JIJABAI made Chhatrapati SHIVAJI Maharaj the GREATEST KING of India? : The Untold Story,613529,48983,4087,2022-09-05,Sep
11,How America's Strategy built the GREATEST ARMY mankind has ever seen? : Geopolitical case study,1087997,35037,3371,2022-09-02,Sep
12,How Russia-China's ECONOMIC STRATEGY is CRUSHING the DOLLAR? : CURRENCY WARS Case study Ep 2,2437570,68625,5798,2022-08-30,Aug
13,How China’s SPY SHIP STRATEGY  is Killing India’s Security? : Geopolitics Casestudy,634784,26812,1489,2022-08-27,Aug
14,How TALIBAN's WAR STRATEGY defeated the US Army in Afghanistan? : Geopolitical case study,520294,33135,1902,2022-08-24,Aug
15,Why INDIA is scared about ISRAEL-PALESTINE conflict? : ISRAEL-PALESTINE EXPLAINED,1255265,49666,3485,2022-08-19,Aug
16,DECODING China's WAR STRATEGY to invade Taiwan against USA & Japanese Army?: Geopolitical Case study,800585,33977,2573,2022-08-16,Aug
17,What Schools DONT teach you about HOW Sardar Patel Unified Kashmir & Hyderabad? : Case study,770143,47621,2908,2022-08-13,Aug
18,How Zepto/Dunzo's BUSINESS STRATEGY is CRUSHING Dmart and Reliance? : Retail Business War EXPLAINED,783709,28085,1163,2022-08-09,Aug
19,How America's STRATEGY made US DOLLAR the MOST POWERFUL CURRENCY in the WORLD? : Case study,890072,38982,2555,2022-08-05,Aug
20,Why US-China are preparing for WAR over Taiwan? : Geopolitical Case study (Recap Episode),1250031,52633,3266,2022-08-02,Aug
21,How Putin's WAR STRATEGY is KILLING Europe and US? : War Strategy Case study ( Russia vs Europe),2481396,93659,8232,2022-07-29,Jul
22,What India needs to learn from the Chinese Economic Crisis? : Chinese Evergrande Crisis,1774937,66173,3385,2022-07-26,Jul
23,How ADANI's Genius CASH FLOW STRATEGY fuelled the SUPERFAST expansion of ADANI Group? : Case study,1286598,43456,2962,2022-07-23,Jul
24,How TATA motors' GENIUS STRATEGY is racing it past Hyundai & Suzuki in India? : Business Case study,1064277,39334,1918,2022-07-19,Jul
25,How RBI's STRATEGY will KILL the US DOLLAR dominance in the world economy? : Rupee Vs Dollar War,3130781,110971,6187,2022-07-15,Jul
26,Why Indian states are going BANKRUPT like SRI LANKA? :  RBI Case study EXPLAINED,1276621,54859,5495,2022-07-12,Jul
27,Why are Indian Startups Failing Miserably? : Business lessons from Indian start up Crash EXPLAINED,1021960,40578,1957,2022-07-08,Jul
28,Why BUY NOW PAY LATER Cards are facing the heat from the Regulators? : DARK side of BNPL,1106643,35537,2104,2022-07-05,Jul
29,How JAPAN's SECRET STRATEGY made it SUPER RICH even after USA's Nuclear Attack? | Lessons for India,790304,36394,2608,2022-07-01,Jul
30,How MARICO's Saffola beat ITC & Hindustan Unilever in EDIBLE OIL WAR in India?: Business Case study,472192,19024,489,2022-06-28,Jun
31,Why is OLA's BUSINESS MODEL Failing MISERABLY in India? : Business case study,1846923,47185,2724,2022-06-26,Jun
32,How AGNIPATH will Change the FORTUNES of Indian Armed Forces? : AGNIPATH SCHEME Explained,805295,50548,4514,2022-06-23,Jun
33,How USA uses the EVIL WAR strategy to Manipulate the World? : US War Business strategy exposed,1223996,69643,6009,2022-06-21,Jun
34,How UPI's Bold Business STRATEGY will KILL VISA and MASTERCARD? : UPI CREDIT LINKING EXPLAINED,861242,39771,1521,2022-06-17,Jun
35,How TATA VOLTAS' brilliant business STRATEGY made it the KING of Indian AC market? : Case study,700264,32336,1725,2022-06-14,Jun
36,Why are GIANT Edtech companies FAILING in India? : Edtech Crash Case study,1617482,57092,3389,2022-06-10,Jun
37,ADANI's Genius BUSINESS STRATEGY to become CEMENT KING of India? : Adani Ambuja Business Case Study,1624067,45695,1843,2022-06-07,Jun
38,EXPLAINED: How fall of a currency value affects a country? : Using Case study of China and Nigeria,997056,37637,2082,2022-06-03,Jun
39,How Andaman and Nicobar's Military STRATEGY is making India UNBEATABLE? : Geopolitics Case study,2017150,74704,2857,2022-05-31,May
40,How Bangladesh's Secret STRATEGY made it RICH? : Business Case Study,1235927,24266,3256,2022-05-27,May
41,"Can India's ONDC KILL Amazon, Flipkart & Zomato? : ONDC Business Case Study",1602228,56474,2510,2022-05-24,May
42,Why is India facing a power crisis despite having the 5th largest Coal reserves in the World?,500702,24717,1946,2022-05-21,May
43,How Adani got RICH after Palm Oil crisis ? : Edible Oil crisis Case study,1113869,37653,1780,2022-05-18,May
44,How India is TRAPPING China with its Military STRATEGY? : Geopolitical Case study,9862172,267025,20071,2022-05-15,May
45,How BANGLADESH became a SUPER FAST growing Asian Economy? : Bangladesh Growth case study,556051,22395,3600,2022-05-10,May
46,How DUBAI's Secret STRATEGY made it SUPER RICH & SUPER POWERFUL? : Dubai Growth case study,1130511,32729,2289,2022-05-07,May
47,How American MAFIA saved Tax worth 1 Trillion dollars? : Business Case Study,308622,13069,790,2022-05-03,May
48,Why NITIN GADKARI is pushing GREEN HYDROGEN for Indian Industries : Green Hydrogen Case study,1960619,62460,2541,2022-04-29,Apr
49,How China is TRAPPING INDIA using Pakistan & Sri Lanka? :Geopolitics Case study (China's Trade plan),1294033,51400,3264,2022-04-27,Apr
50,How was BSNL KILLED (strategically) by the Powerful people of India? : BSNL Tragedy Case Study,860207,29864,3632,2022-04-23,Apr
51,How PAKISTAN committed SUICIDE with its ECONOMY ? : Pakistani Economic Crisis case study,1260497,48904,5253,2022-04-19,Apr
